0.000000,0.648497
0.010000,0.647603
0.020000,0.646629
0.030000,0.645570
0.040000,0.644418
0.050000,0.643164
0.060000,0.641801
0.070000,0.640318
0.080000,0.638706
0.090000,0.636954
0.100000,0.635051
0.110000,0.632984
0.120000,0.630740
0.130000,0.628306
0.140000,0.625667
0.150000,0.622807
0.160000,0.619711
0.170000,0.616362
0.180000,0.612742
0.190000,0.608834
0.200000,0.604620
0.210000,0.600080
0.220000,0.595196
0.230000,0.589950
0.240000,0.584323
0.250000,0.578298
0.260000,0.571858
0.270000,0.564989
0.280000,0.557676
0.290000,0.549908
0.300000,0.541677
0.310000,0.532976
0.320000,0.523803
0.330000,0.514161
0.340000,0.504053
0.350000,0.493492
0.360000,0.482491
0.370000,0.471072
0.380000,0.459260
0.390000,0.447085
0.400000,0.434583
0.410000,0.421793
0.420000,0.408761
0.430000,0.395533
0.440000,0.382162
0.450000,0.368699
0.460000,0.355200
0.470000,0.341719
0.480000,0.328311
0.490000,0.315028
0.500000,0.301921
0.510000,0.289038
0.520000,0.276425
0.530000,0.264120
0.540000,0.252159
0.550000,0.240574
0.560000,0.229391
0.570000,0.218629
0.580000,0.208306
0.590000,0.198433
0.600000,0.189017
0.610000,0.180060
0.620000,0.171562
0.630000,0.163519
0.640000,0.155924
0.650000,0.148767
0.660000,0.142036
0.670000,0.135719
0.680000,0.129801
0.690000,0.124266
0.700000,0.119099
0.710000,0.114282
0.720000,0.109799
0.730000,0.105634
0.740000,0.101769
0.750000,0.098189
0.760000,0.094877
0.770000,0.091820
0.780000,0.089001
0.790000,0.086407
0.800000,0.084024
0.810000,0.081840
0.820000,0.079843
0.830000,0.078022
0.840000,0.076365
0.850000,0.074864
0.860000,0.073507
0.870000,0.072288
0.880000,0.071196
0.890000,0.070226
0.900000,0.069369
0.910000,0.068620
0.920000,0.067971
0.930000,0.067417
0.940000,0.066953
0.950000,0.066575
0.960000,0.066276
0.970000,0.066053
0.980000,0.065902
0.990000,0.065820
1.000000,0.065802
1.010000,0.065846
1.020000,0.065948
1.030000,0.066107
1.040000,0.066318
1.050000,0.066580
1.060000,0.066891
1.070000,0.067248
1.080000,0.067649
1.090000,0.068092
1.100000,0.068577
1.110000,0.069099
1.120000,0.069660
1.130000,0.070256
